text	label
A LOT OF SAD PARTS 	-0.5
THERE IS SAD PART	-1.2
AND ITS A REALLY FUNNY 	1.8
BUT IT WAS REALLY REALLY AWESOME	2.2
ANYHOW IT WAS REALLY GOOD 	2.4
I MEAN THEY DID A LITTLE BIT OF IT 	-1.0
THAY DID THEY DIDNT REALLY DO A WHOLE BUNCH OF BACKGROUND INFO ON WHY SHE HAS TO FIGHT AND BE PREPARED	-0.8
AND THEY SHOULDVE I GUESS 	0.0
BUT NOT A WHOLE BUNCH 	-1.75
AND XXX BUT BESIDES THAT IT WAS ALL OVER PRETTY GOOD	0.8
THEY SHOULDVE LIVE UP WITH MORE 	0.0
OH MY GOD A LOT OF ACTION	0.2
AND THERE IS LIKE SOMEONE WHILE SOMEONE THERE WAS A LOT OF ACTION 	0.0
I MEAN THAT WAS IMPRESSIVE 	2.6
I LIKED THAT SCENE WHERE HE HAD A SWORDS IN THERE AND THERES BUNCH OF PEOPLE THAT ARE GONNA SHOOT HIM BOOM BOOM BOOM BOOM TAKE HIM DOWN TAKE HIM DOWN BAM BAM BAM BAM BAM TAKE THAT WITH MY MAGICAL SWORDS 	2.2
OK BUT THE TWO BIG CHARACTER APPEARANCES IN THIS MOVIE ARE EASILY DEADPOOL AND GAMBIT	0.6
ACTUALLY I LIKED HIM A LOT	2.0
AND I THOUGHT HE MADE A GOOD ACTOR FOR THE DEAD POOR CHARACTER	1.8
NOW HES SEEN AT THE BEGINNING THAT REALLY SOLD ME	2.6
NOW THE TITLE OF THE MOVIE BASICALLY SAYS IT ALL	-0.4
MY REASON IM A COMIC BOOK FAN	-0.2
NOW IM NOT EVEN GONNA SUGAR COAT THIS THIS MOVIE FRUSTRATED ME TO SUCH AN EXTREME EXTENT THAT I WAS LOUDLY EXCLAIMING WHY AT THE END OF THE FILM	-2.8
THAT HUH BEFORE WE GO ON WITH THAT I MUST SAY THAT THIS HAD A SURPRISINGLY DECENT CAST 	0.8
THAT LIKE TO SEE COMIC BOOK CHARACTERS TREATED RESPONSIBLY	-1.4
NOW HUGH JACKMAN WAS ALWAYS THE BEST CHOICE TO PLAY WOLVERINE I WILL ADMIT THAT	1.8
STRANGE SINCE ONE OF MY BIGGEST GRAPES WITH THE XMAN SERIES WAS AND ALWAYS IS THE XXX	-1.4
